epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6507.43,0.74497,0.91236,0.44362,1.00678,0.99929,0.99749,0.995,0.87755,0.99929,0.99749,0.995,0.85154,0.54989,0.69815,0.34508,0.96956,0.001307,0.001307,0.001307
72,6658.64,0.75525,0.90577,0.45088,1.01435,0.99842,0.99749,0.995,0.88351,0.99842,0.99749,0.995,0.83857,0.54067,0.68411,0.33338,0.96752,0.0012971,0.0012971,0.0012971
73,6755.67,0.74153,0.89974,0.44448,0.99995,0.9972,0.99749,0.995,0.88593,0.9972,0.99749,0.995,0.84907,0.546,0.69887,0.3368,0.96939,0.0012872,0.0012872,0.0012872
74,6850.99,0.72412,0.87892,0.4332,0.99343,0.99893,0.99749,0.995,0.8924,0.99893,0.99749,0.995,0.8472,0.54357,0.70616,0.3416,0.96849,0.0012773,0.0012773,0.0012773
75,6941.12,0.72652,0.86875,0.43537,0.99285,0.9977,0.99749,0.995,0.89221,0.9977,0.99749,0.995,0.85215,0.53584,0.69415,0.33064,0.96541,0.0012674,0.0012674,0.0012674
76,7028.53,0.72267,0.90395,0.43229,0.99809,0.9988,0.99749,0.995,0.88793,0.9988,0.99749,0.995,0.85685,0.53499,0.68205,0.33425,0.9656,0.0012575,0.0012575,0.0012575
77,7113.9,0.74309,0.90553,0.44154,1.00186,0.9996,0.99749,0.995,0.88734,0.9996,0.99749,0.995,0.85386,0.53903,0.68413,0.33516,0.9706,0.0012476,0.0012476,0.0012476
78,7190.82,0.72877,0.87687,0.43841,1.0004,0.99655,0.99749,0.99497,0.88242,0.99655,0.99749,0.99497,0.84254,0.56839,0.69501,0.34024,0.98254,0.0012377,0.0012377,0.0012377
79,7267.28,0.73633,0.91277,0.45097,1.0076,0.99826,0.99749,0.995,0.88444,0.99826,0.99749,0.995,0.84723,0.53029,0.68573,0.33688,0.96331,0.0012278,0.0012278,0.0012278
80,7343.41,0.70603,0.89165,0.42452,0.99228,0.99743,0.99749,0.995,0.88287,0.99743,0.99749,0.995,0.85129,0.54219,0.67172,0.3278,0.96564,0.0012179,0.0012179,0.0012179
81,7420.31,0.7194,0.88982,0.43008,0.99829,0.9987,0.99749,0.995,0.89134,0.9987,0.99749,0.995,0.8554,0.52788,0.68673,0.32481,0.96264,0.001208,0.001208,0.001208
82,7496.49,0.73046,0.88892,0.43171,0.99962,0.99726,0.99749,0.995,0.88965,0.99726,0.99749,0.995,0.84879,0.52334,0.68468,0.32667,0.95911,0.0011981,0.0011981,0.0011981
83,7573.1,0.73759,0.92259,0.45077,1.00651,0.99861,0.99749,0.995,0.88874,0.99861,0.99749,0.995,0.85229,0.54435,0.67535,0.34676,0.97144,0.0011882,0.0011882,0.0011882
84,7649.36,0.7097,0.86537,0.42831,0.98874,0.99954,0.99749,0.995,0.89744,0.99954,0.99749,0.995,0.85201,0.51275,0.67252,0.3113,0.95169,0.0011783,0.0011783,0.0011783
85,7726.24,0.71521,0.87572,0.42977,0.99518,0.9975,0.99966,0.995,0.88995,0.9975,0.99966,0.995,0.8525,0.51479,0.66922,0.31862,0.95121,0.0011684,0.0011684,0.0011684
86,7802.3,0.71817,0.8859,0.43299,1.00018,0.99954,0.99749,0.995,0.8858,0.99954,0.99749,0.995,0.85079,0.51571,0.67382,0.32344,0.95391,0.0011585,0.0011585,0.0011585
87,7879.43,0.70121,0.87529,0.4243,0.987,0.99744,0.99749,0.995,0.89208,0.99744,0.99749,0.995,0.85396,0.51363,0.66876,0.3176,0.9533,0.0011486,0.0011486,0.0011486
88,7955.68,0.69718,0.86912,0.41943,0.98646,0.99905,0.99749,0.995,0.89426,0.99905,0.99749,0.995,0.84958,0.51553,0.68484,0.31721,0.95296,0.0011387,0.0011387,0.0011387
89,8031.74,0.68264,0.83544,0.4106,0.98381,0.99894,0.99749,0.995,0.897,0.99894,0.99749,0.995,0.85591,0.5249,0.66744,0.32731,0.95964,0.0011288,0.0011288,0.0011288
90,8107.61,0.69588,0.85038,0.42145,0.99018,0.99623,0.99749,0.995,0.88361,0.99623,0.99749,0.995,0.85004,0.53851,0.66526,0.33008,0.96267,0.0011189,0.0011189,0.0011189
91,8183.66,0.70086,0.87675,0.42288,0.98189,0.99913,0.99749,0.995,0.89625,0.99913,0.99749,0.995,0.85535,0.51225,0.66993,0.31303,0.95007,0.001109,0.001109,0.001109
92,8259.86,0.69681,0.86236,0.41829,0.98607,0.99686,0.99749,0.99495,0.89969,0.99686,0.99749,0.99495,0.85781,0.51041,0.66409,0.30988,0.94578,0.0010991,0.0010991,0.0010991
93,8335.86,0.719,0.88939,0.42376,0.98276,0.99898,0.99749,0.995,0.90371,0.99898,0.99749,0.995,0.85039,0.50598,0.6812,0.31225,0.94873,0.0010892,0.0010892,0.0010892
94,8412.1,0.71237,0.85979,0.42409,0.98799,0.9995,0.99749,0.995,0.89772,0.9995,0.99749,0.995,0.85578,0.5136,0.66806,0.31281,0.94929,0.0010793,0.0010793,0.0010793
95,8487.61,0.71196,0.83903,0.42214,0.99388,0.99958,0.99749,0.995,0.90601,0.99958,0.99749,0.995,0.85878,0.50426,0.65687,0.30532,0.94777,0.0010694,0.0010694,0.0010694
96,8563.91,0.69023,0.85761,0.41589,0.9844,0.99857,0.99749,0.995,0.89784,0.99857,0.99749,0.995,0.85816,0.49712,0.65273,0.30385,0.94221,0.0010595,0.0010595,0.0010595
97,8639.96,0.68252,0.86677,0.40828,0.98118,0.99911,0.99749,0.995,0.88765,0.99911,0.99749,0.995,0.84959,0.53558,0.67927,0.32229,0.96085,0.0010496,0.0010496,0.0010496
98,8716.43,0.69024,0.85832,0.41333,0.98525,0.99497,1,0.995,0.90322,0.99497,1,0.995,0.86106,0.50084,0.67071,0.3016,0.94423,0.0010397,0.0010397,0.0010397
99,8793.53,0.6869,0.85467,0.4099,0.97946,0.9992,0.99749,0.995,0.89476,0.9992,0.99749,0.995,0.85475,0.50775,0.65747,0.30419,0.9475,0.0010298,0.0010298,0.0010298
100,8870.17,0.66975,0.83085,0.40623,0.97696,0.99938,0.99749,0.995,0.89672,0.99938,0.99749,0.995,0.86011,0.5055,0.65296,0.30513,0.94325,0.0010199,0.0010199,0.0010199
101,8946.94,0.69686,0.86592,0.40832,0.98028,0.99879,1,0.995,0.90095,0.99879,1,0.995,0.85619,0.50155,0.67115,0.30567,0.94321,0.00101,0.00101,0.00101
102,9024.1,0.67943,0.83651,0.40625,0.97292,0.99851,0.99749,0.995,0.89341,0.99851,0.99749,0.995,0.85522,0.50583,0.65988,0.31426,0.94261,0.0010001,0.0010001,0.0010001
103,9101.02,0.68888,0.8555,0.41216,0.98112,0.99742,0.99749,0.995,0.90724,0.99742,0.99749,0.995,0.85255,0.51478,0.68455,0.30901,0.94923,0.0009902,0.0009902,0.0009902
104,9179.3,0.68045,0.82667,0.40453,0.97741,0.99731,0.99749,0.99497,0.91287,0.99731,0.99749,0.99497,0.86444,0.48734,0.65371,0.29843,0.93549,0.0009803,0.0009803,0.0009803
105,9256.17,0.6698,0.81987,0.40498,0.97147,0.99809,0.99749,0.995,0.90266,0.99809,0.99749,0.995,0.85917,0.494,0.65959,0.3026,0.94131,0.0009704,0.0009704,0.0009704
106,9334.85,0.67316,0.82475,0.40211,0.97442,0.99817,0.99749,0.995,0.89892,0.99817,0.99749,0.995,0.86122,0.50063,0.64742,0.30409,0.94249,0.0009605,0.0009605,0.0009605
107,9411.96,0.67963,0.84278,0.40484,0.97801,0.99848,0.99749,0.995,0.89864,0.99848,0.99749,0.995,0.85609,0.49064,0.65682,0.29521,0.93761,0.0009506,0.0009506,0.0009506
108,9489.18,0.68203,0.83877,0.40565,0.98022,0.9984,0.99749,0.995,0.90642,0.9984,0.99749,0.995,0.86216,0.48656,0.64278,0.29659,0.93717,0.0009407,0.0009407,0.0009407
109,9565.23,0.66762,0.82246,0.40161,0.97379,0.99742,0.99749,0.995,0.90612,0.99742,0.99749,0.995,0.87151,0.49197,0.64302,0.29834,0.93906,0.0009308,0.0009308,0.0009308
110,9641.99,0.67175,0.83659,0.39941,0.96949,0.99944,0.99749,0.995,0.89826,0.99944,0.99749,0.995,0.86808,0.50519,0.6674,0.30877,0.94567,0.0009209,0.0009209,0.0009209
111,9718.7,0.6843,0.84064,0.40994,0.98193,0.99975,0.99749,0.995,0.90085,0.99975,0.99749,0.995,0.86062,0.5021,0.6422,0.30411,0.94271,0.000911,0.000911,0.000911
112,9800.61,0.65925,0.82768,0.39336,0.97317,0.99941,0.99749,0.995,0.90277,0.99941,0.99749,0.995,0.86117,0.48811,0.63819,0.29505,0.93818,0.0009011,0.0009011,0.0009011
113,9901.8,0.66573,0.84299,0.39645,0.96962,0.99948,0.99749,0.995,0.90177,0.99948,0.99749,0.995,0.86475,0.4938,0.63782,0.29403,0.94154,0.0008912,0.0008912,0.0008912
114,9987.06,0.65128,0.81842,0.39135,0.96899,0.99977,0.99749,0.995,0.90337,0.99977,0.99749,0.995,0.86083,0.48126,0.6414,0.29454,0.934,0.0008813,0.0008813,0.0008813
115,10073.2,0.66967,0.83906,0.40158,0.97715,0.99953,0.99749,0.995,0.90788,0.99953,0.99749,0.995,0.86374,0.4804,0.64002,0.29065,0.93286,0.0008714,0.0008714,0.0008714
116,10160.6,0.6588,0.80293,0.39093,0.97145,0.9995,0.99749,0.995,0.90573,0.9995,0.99749,0.995,0.8564,0.48755,0.64582,0.29137,0.93533,0.0008615,0.0008615,0.0008615
117,10247.4,0.66218,0.80502,0.39157,0.97181,1,0.9999,0.995,0.90357,1,0.9999,0.995,0.86492,0.48395,0.63173,0.28416,0.9327,0.0008516,0.0008516,0.0008516
118,10333.3,0.64959,0.80726,0.38755,0.96737,0.99967,0.99749,0.995,0.90849,0.99967,0.99749,0.995,0.86026,0.48814,0.63631,0.28543,0.93355,0.0008417,0.0008417,0.0008417
119,10418.2,0.66575,0.82451,0.39485,0.97118,0.9998,0.99749,0.995,0.90939,0.9998,0.99749,0.995,0.86876,0.4782,0.63353,0.2851,0.92945,0.0008318,0.0008318,0.0008318
120,10497,0.65663,0.80838,0.39659,0.97079,0.99915,0.99749,0.995,0.89945,0.99915,0.99749,0.995,0.85709,0.48964,0.64222,0.29046,0.93387,0.0008219,0.0008219,0.0008219
121,10573.7,0.65394,0.79748,0.39001,0.96756,0.99969,0.99749,0.995,0.90395,0.99969,0.99749,0.995,0.86198,0.48046,0.63861,0.28737,0.92996,0.000812,0.000812,0.000812
122,10651.4,0.65138,0.80049,0.38921,0.97107,0.99977,0.99749,0.995,0.90222,0.99977,0.99749,0.995,0.86143,0.48228,0.63783,0.28536,0.9313,0.0008021,0.0008021,0.0008021
123,10730.3,0.64293,0.79717,0.38354,0.96507,0.9998,0.99749,0.995,0.90865,0.9998,0.99749,0.995,0.86555,0.48019,0.63095,0.2875,0.9323,0.0007922,0.0007922,0.0007922
124,10807.4,0.65066,0.80992,0.38463,0.95959,0.99966,0.99749,0.995,0.90798,0.99966,0.99749,0.995,0.86041,0.48068,0.63276,0.28303,0.92992,0.0007823,0.0007823,0.0007823
125,10884.5,0.66585,0.81764,0.39636,0.9671,0.99974,0.99749,0.995,0.90739,0.99974,0.99749,0.995,0.86333,0.48385,0.63186,0.28396,0.93088,0.0007724,0.0007724,0.0007724
126,10961.1,0.64643,0.7915,0.38618,0.96815,0.99965,0.99749,0.995,0.90532,0.99965,0.99749,0.995,0.86536,0.4751,0.62791,0.28295,0.92849,0.0007625,0.0007625,0.0007625
127,11038.2,0.63933,0.80461,0.38299,0.96707,0.99975,0.99749,0.995,0.9071,0.99975,0.99749,0.995,0.86545,0.4753,0.63727,0.28143,0.92846,0.0007526,0.0007526,0.0007526
