epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,8541.75,0.56972,0.73048,0.32864,0.93432,0.9998,1,0.995,0.92931,0.9998,1,0.995,0.87477,0.43188,0.59785,0.23816,0.90369,0.00104096,0.00104096,0.00104096
98,8625.71,0.56929,0.72355,0.32868,0.93782,0.99979,1,0.995,0.932,0.99979,1,0.995,0.8849,0.4221,0.58539,0.23495,0.89986,0.00103097,0.00103097,0.00103097
99,18989.2,0.56887,0.72437,0.32443,0.93152,1,0.9998,0.995,0.93358,1,0.9998,0.995,0.88075,0.42365,0.5868,0.2379,0.90026,0.00102098,0.00102098,0.00102098
100,19158,0.55874,0.71102,0.32318,0.93145,0.99982,0.99749,0.995,0.92516,0.99982,0.99749,0.995,0.88182,0.43294,0.59274,0.24026,0.90419,0.00101099,0.00101099,0.00101099
101,19336,0.57146,0.73345,0.32558,0.92897,0.99978,1,0.995,0.93184,0.99978,1,0.995,0.886,0.42636,0.58779,0.23649,0.89998,0.001001,0.001001,0.001001
102,19541.5,0.56984,0.70594,0.32515,0.92934,1,0.99984,0.995,0.92537,1,0.99984,0.995,0.88235,0.43607,0.58219,0.23925,0.90235,0.00099101,0.00099101,0.00099101
103,19737.9,0.57967,0.72672,0.33388,0.93893,0.99975,1,0.995,0.92944,0.99975,1,0.995,0.87618,0.42967,0.60608,0.24037,0.90103,0.00098102,0.00098102,0.00098102
104,19940.8,0.56237,0.70929,0.32436,0.93155,0.9997,0.99749,0.995,0.93367,0.9997,0.99749,0.995,0.88077,0.43513,0.58622,0.23454,0.90698,0.00097103,0.00097103,0.00097103
105,20139.5,0.55452,0.70049,0.32389,0.92495,0.99988,1,0.995,0.93867,0.99988,1,0.995,0.88756,0.42755,0.58872,0.23606,0.89805,0.00096104,0.00096104,0.00096104
106,20336.6,0.55562,0.7066,0.32091,0.92771,1,0.99982,0.995,0.93134,1,0.99982,0.995,0.89012,0.4246,0.58027,0.23809,0.89806,0.00095105,0.00095105,0.00095105
107,20534.7,0.56693,0.72091,0.32724,0.93375,0.9998,0.99749,0.995,0.93626,0.9998,0.99749,0.995,0.8844,0.42127,0.58422,0.23928,0.89842,0.00094106,0.00094106,0.00094106
108,20727.1,0.57019,0.71765,0.32938,0.93458,0.99972,1,0.995,0.93172,0.99972,1,0.995,0.88393,0.43142,0.5817,0.24117,0.90358,0.00093107,0.00093107,0.00093107
109,20920.8,0.55765,0.71737,0.32534,0.93058,0.99978,1,0.995,0.93325,0.99978,1,0.995,0.88425,0.42452,0.5833,0.2329,0.89978,0.00092108,0.00092108,0.00092108
110,21114.7,0.56225,0.716,0.32513,0.9265,0.99978,1,0.995,0.92762,0.99978,1,0.995,0.89337,0.43657,0.59073,0.23776,0.90103,0.00091109,0.00091109,0.00091109
111,21308.5,0.571,0.7161,0.33098,0.93633,0.99989,1,0.995,0.92294,0.99989,1,0.995,0.8856,0.43279,0.58311,0.24186,0.90307,0.0009011,0.0009011,0.0009011
112,21497.1,0.55291,0.708,0.32062,0.93086,0.99979,1,0.995,0.92918,0.99979,1,0.995,0.8867,0.42331,0.58266,0.23589,0.89883,0.00089111,0.00089111,0.00089111
113,21689.5,0.5621,0.72513,0.32259,0.92628,0.99974,0.99749,0.995,0.93548,0.99974,0.99749,0.995,0.88973,0.42415,0.58329,0.23996,0.90148,0.00088112,0.00088112,0.00088112
114,21882.9,0.54686,0.69874,0.31908,0.92799,0.99991,1,0.995,0.94007,0.99991,1,0.995,0.88537,0.42259,0.58595,0.23403,0.89805,0.00087113,0.00087113,0.00087113
115,22054.8,0.57202,0.73113,0.33083,0.93631,0.99977,1,0.995,0.93595,0.99977,1,0.995,0.87975,0.4241,0.58956,0.23606,0.89822,0.00086114,0.00086114,0.00086114
116,22235.9,0.55627,0.69137,0.32558,0.92884,0.99974,1,0.995,0.93894,0.99974,1,0.995,0.88589,0.41866,0.58954,0.23003,0.89578,0.00085115,0.00085115,0.00085115
117,22457.2,0.5588,0.69488,0.32315,0.93377,1,0.99992,0.995,0.93916,1,0.99992,0.995,0.8877,0.42109,0.58254,0.23452,0.89776,0.00084116,0.00084116,0.00084116
118,22649.3,0.55993,0.69996,0.31851,0.93253,0.99988,1,0.995,0.93551,0.99988,1,0.995,0.88445,0.42244,0.58349,0.23233,0.89983,0.00083117,0.00083117,0.00083117
119,22828.6,0.56504,0.71588,0.32437,0.93278,0.99976,1,0.995,0.94111,0.99976,1,0.995,0.88935,0.42065,0.57897,0.22938,0.89886,0.00082118,0.00082118,0.00082118
120,22991.4,0.55495,0.70975,0.32342,0.93184,0.99968,0.99749,0.995,0.93498,0.99968,0.99749,0.995,0.88464,0.42764,0.58397,0.23193,0.89861,0.00081119,0.00081119,0.00081119
121,23161.2,0.5531,0.6956,0.31986,0.93014,0.99966,0.99749,0.995,0.93212,0.99966,0.99749,0.995,0.88313,0.42454,0.58718,0.2356,0.89955,0.0008012,0.0008012,0.0008012
122,23333.9,0.55326,0.70645,0.32049,0.93263,0.9999,1,0.995,0.93861,0.9999,1,0.995,0.8862,0.41316,0.58036,0.22653,0.89412,0.00079121,0.00079121,0.00079121
123,23489.7,0.54353,0.69624,0.31372,0.92571,0.99991,1,0.995,0.93964,0.99991,1,0.995,0.88392,0.4196,0.57915,0.22906,0.89697,0.00078122,0.00078122,0.00078122
124,23663.1,0.55529,0.70835,0.31676,0.92431,1,0.99989,0.995,0.93602,1,0.99989,0.995,0.88518,0.41161,0.58053,0.22647,0.89494,0.00077123,0.00077123,0.00077123
125,23840.4,0.56829,0.7155,0.32606,0.92908,0.99974,0.99749,0.995,0.93256,0.99974,0.99749,0.995,0.87875,0.42578,0.58379,0.2312,0.90064,0.00076124,0.00076124,0.00076124
126,24004.2,0.55083,0.69323,0.31612,0.92924,0.99997,1,0.995,0.93637,0.99997,1,0.995,0.88368,0.4167,0.58366,0.23075,0.89566,0.00075125,0.00075125,0.00075125
127,24186.6,0.54017,0.69545,0.3181,0.92316,1,0.99995,0.995,0.93866,1,0.99995,0.995,0.88608,0.41661,0.59174,0.22896,0.89489,0.00074126,0.00074126,0.00074126
128,24367.3,0.55996,0.71278,0.32306,0.92717,0.99971,0.99749,0.995,0.93361,0.99971,0.99749,0.995,0.88309,0.42174,0.58024,0.23352,0.89731,0.00073127,0.00073127,0.00073127
129,24547.7,0.55177,0.70533,0.32474,0.92591,0.99996,1,0.995,0.94308,0.99996,1,0.995,0.88305,0.4105,0.58464,0.22539,0.89165,0.00072128,0.00072128,0.00072128
130,24711.6,0.54497,0.68821,0.31501,0.92712,0.99968,0.99749,0.995,0.93971,0.99968,0.99749,0.995,0.88213,0.41504,0.58406,0.2321,0.89473,0.00071129,0.00071129,0.00071129
131,24819.2,0.54635,0.70717,0.3147,0.92678,1,0.99986,0.995,0.93843,1,0.99986,0.995,0.88202,0.41305,0.58447,0.22489,0.89329,0.0007013,0.0007013,0.0007013
